BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,Jan 14 2009 12:00AM,125.50,2,Jun 30 2014 12:00AM
2,Jan 31 2008 12:00AM,63.46,2,Jun 30 2014 12:00AM
3,Nov 11 2007 12:00AM,43.27,2,Jun 30 2014 12:00AM
4,Dec  5 2007 12:00AM,8.62,2,Nov 21 2007 12:00AM
4,May 31 2010 12:00AM,23.72,2,May 16 2010 12:00AM
4,Dec 15 2011 12:00AM,29.85,2,Dec  1 2011 12:00AM
5,Jan  6 2008 12:00AM,32.69,2,Jun 30 2014 12:00AM
6,Jan 24 2008 12:00AM,32.69,2,Jun 30 2014 12:00AM
7,Feb  8 2009 12:00AM,50.48,2,Jun 30 2014 12:00AM
8,Dec 29 2008 12:00AM,40.87,2,Jun 30 2014 12:00AM
9,Jan 16 2009 12:00AM,40.87,2,Jun 30 2014 12:00AM
10,May  3 2009 12:00AM,42.48,2,Jun 30 2014 12:00AM
11,Dec  5 2010 12:00AM,28.85,2,Jun 30 2014 12:00AM
12,Dec 11 2007 12:00AM,25.00,2,Jun 30 2014 12:00AM
13,Dec 23 2010 12:00AM,25.00,2,Jun 30 2014 12:00AM
14,Dec 30 2010 12:00AM,36.06,2,Jun 30 2014 12:00AM
15,Jan 18 2011 12:00AM,32.69,2,Jun 30 2014 12:00AM
16,Dec 20 2007 12:00AM,24.00,2,Dec  6 2007 12:00AM
16,Jul 15 2009 12:00AM,28.75,2,Jul  1 2009 12:00AM
16,Apr 30 2012 12:00AM,37.50,2,Apr 16 2012 12:00AM
17,Jan 26 2007 12:00AM,13.46,2,Jun 30 2014 12:00AM
18,Feb  7 2011 12:00AM,14.42,2,Jun 30 2014 12:00AM
19,Feb 14 2011 12:00AM,13.46,2,Jun 30 2014 12:00AM
20,Jan  7 2011 12:00AM,13.46,2,Jun 30 2014 12:00AM
21,Mar  2 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
22,Dec 12 2008 12:00AM,14.42,2,Jun 30 2014 12:00AM
23,Jan 12 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
24,Jan 18 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
25,Feb  3 2009 12:00AM,84.13,2,Jun 30 2014 12:00AM
26,Dec  1 2008 12:00AM,24.52,2,Jun 30 2014 12:00AM
27,Feb 27 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
28,Jun 30 2006 12:00AM,12.45,1,Jun 30 2014 12:00AM
29,Jan 23 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
30,Jan 29 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
31,Jan  4 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
32,Dec 29 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
33,Dec 17 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
34,Feb 16 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
35,Feb  8 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
36,Feb 10 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
37,Mar  7 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
38,Jan 16 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
39,Feb  5 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
40,Dec 26 2007 12:00AM,25.00,2,Jun 30 2014 12:00AM
41,Jan 21 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
42,Dec 27 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
43,Jan  2 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
44,Dec  8 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
45,Feb 26 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
46,Feb  8 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
47,Feb 22 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
48,Jan  6 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
49,Jan  7 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
50,Feb  2 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
51,Feb 20 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
52,Mar 10 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
53,Mar 28 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
54,Jan  1 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
55,Feb  8 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
56,Feb  5 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
57,Feb 23 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
58,Dec  5 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
59,Dec 24 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
60,Jan 11 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
61,Jan 18 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
62,Mar 17 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
63,Jan 29 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
64,Feb 23 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
65,Feb 23 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
66,Dec 22 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
67,Mar  5 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
68,Dec  3 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
69,Feb 15 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
70,Dec 15 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
71,Feb 15 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
72,Dec  1 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
73,Dec 19 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
74,Jan  7 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
75,Jan 26 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
76,Feb 12 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
77,Mar  3 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
78,Dec 15 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
79,Jan 24 2010 12:00AM,15.00,1,Jun 30 2014 12:00AM
80,Jan 17 2010 12:00AM,15.00,1,Jun 30 2014 12:00AM
81,Dec 29 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
82,Mar  3 2010 12:00AM,15.00,1,Jun 30 2014 12:00AM
83,Feb 12 2010 12:00AM,15.00,1,Jun 30 2014 12:00AM
84,Feb  5 2010 12:00AM,15.00,1,Jun 30 2014 12:00AM
85,Dec 11 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
86,Jan  5 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
87,Dec 22 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
88,Dec 18 2009 12:00AM,13.45,1,Jun 30 2014 12:00AM
89,Feb  1 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
90,Feb 20 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
91,Jan 12 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
92,Mar 10 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
93,Dec 27 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
94,Dec 12 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
95,Dec 19 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
96,Mar  2 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
97,Feb 10 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
98,Feb 11 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
99,Jan  6 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
100,Jan 12 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
101,Jan 25 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
102,Dec  3 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
103,Dec  6 2009 12:00AM,13.45,1,Jun 30 2014 12:00AM
104,Dec 25 2009 12:00AM,13.45,1,Jun 30 2014 12:00AM
105,Dec 25 2009 12:00AM,13.45,1,Jun 30 2014 12:00AM
106,Feb 27 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
107,Feb  8 2010 12:00AM,13.45,1,Jun 30 2014 12:00AM
108,Dec  8 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
109,Dec  7 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
110,Dec 14 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
111,Dec 17 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
112,Jan  1 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
113,Dec 25 2008 12:00AM,11.00,1,Jun 30 2014 12:00AM
114,Jan 13 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
115,Jan 20 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
116,Jan 31 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
117,Feb 18 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
118,Feb 13 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
119,Feb 25 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
120,Mar  4 2009 12:00AM,11.00,1,Jun 30 2014 12:00AM
121,Jan  2 2009 12:00AM,19.23,2,Jun 30 2014 12:00AM
122,Dec  7 2008 12:00AM,9.00,1,Jun 30 2014 12:00AM
123,Dec  7 2008 12:00AM,9.50,2,Jun 30 2014 12:00AM
124,Dec 26 2008 12:00AM,9.00,1,Jun 30 2014 12:00AM
125,Jan 20 2009 12:00AM,9.50,2,Jun 30 2014 12:00AM
126,Feb 26 2009 12:00AM,9.00,1,Jun 30 2014 12:00AM
127,Jan  3 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
128,Dec  4 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
129,Dec 22 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
130,Feb 13 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
131,Feb 15 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
132,Feb 22 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
133,Jan 10 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
134,Jan 14 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
135,Dec  4 2008 12:00AM,14.00,1,Jun 30 2014 12:00AM
136,Dec 11 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
137,Feb 23 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
138,Feb  4 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
139,Jan  6 2010 12:00AM,14.00,1,Jun 30 2014 12:00AM
140,Jan 22 2010 12:00AM,14.00,1,Jun 30 2014 12:00AM
141,Jan 24 2010 12:00AM,14.00,1,Jun 30 2014 12:00AM
142,Mar  4 2010 12:00AM,14.00,1,Jun 30 2014 12:00AM
143,Feb 13 2010 12:00AM,14.00,1,Jun 30 2014 12:00AM
144,Jan 17 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
145,Jan 27 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
146,Dec  7 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
147,Dec 26 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
148,Jan 14 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
149,Jan 31 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
150,Feb 26 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
151,Feb 19 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
152,Feb  1 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
153,Dec 16 2008 12:00AM,14.00,1,Jun 30 2014 12:00AM
154,Dec 23 2008 12:00AM,14.00,1,Jun 30 2014 12:00AM
155,Jan  4 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
156,Jan 11 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
157,Feb  3 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
158,Mar  7 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
159,Feb 16 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
160,Jan 21 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
161,Dec 15 2008 12:00AM,10.00,1,Jun 30 2014 12:00AM
162,Jan  3 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
163,Feb  8 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
164,Mar  6 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
165,Jan 22 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
166,Feb 21 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
167,Dec  2 2008 12:00AM,6.50,1,Nov 18 2008 12:00AM
167,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
167,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
168,Dec  7 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
169,Dec 14 2008 12:00AM,9.50,1,Jun 30 2014 12:00AM
170,Dec 21 2008 12:00AM,6.50,1,Dec  7 2008 12:00AM
170,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
170,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
171,Jan  2 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
172,Jan 16 2009 12:00AM,6.50,1,Jan  2 2009 12:00AM
172,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
172,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
173,Jan 21 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
174,Jan 27 2009 12:00AM,6.75,1,Jan 13 2009 12:00AM
174,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
174,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
175,Feb  2 2009 12:00AM,6.50,1,Jan 19 2009 12:00AM
175,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
175,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
176,Feb 14 2009 12:00AM,6.50,1,Jan 31 2009 12:00AM
176,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
176,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
177,Feb 21 2009 12:00AM,6.50,1,Feb  7 2009 12:00AM
177,Dec  1 2011 12:00AM,7.25,1,Nov 17 2011 12:00AM
177,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
178,Mar  3 2009 12:00AM,6.50,1,Feb 17 2009 12:00AM
178,Dec  1 2011 12:00AM,7.00,1,Nov 17 2011 12:00AM
178,Jul 14 2013 12:00AM,9.50,1,Jun 30 2013 12:00AM
179,Mar  5 2009 12:00AM,9.50,1,Jun 30 2014 12:00AM
180,Feb 20 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
181,Dec  9 2008 12:00AM,14.00,1,Jun 30 2014 12:00AM
182,Dec 28 2008 12:00AM,14.00,1,Jun 30 2014 12:00AM
183,Jan 22 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
184,Feb  9 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
185,Feb 28 2009 12:00AM,14.00,1,Jun 30 2014 12:00AM
186,Feb  8 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
187,Dec  9 2008 12:00AM,10.00,1,Jun 30 2014 12:00AM
188,Dec 27 2008 12:00AM,10.00,1,Jun 30 2014 12:00AM
189,Jan 15 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
190,Feb  2 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
191,Feb 26 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
192,Mar  5 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
193,Dec  6 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
194,Dec 12 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
195,Dec 17 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
196,Dec 24 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
197,Dec 31 2008 12:00AM,15.00,1,Jun 30 2014 12:00AM
198,Jan  4 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
199,Jan 12 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
200,Jan 17 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
201,Jan 29 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
202,Feb  5 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
203,Feb 24 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
204,Mar  8 2009 12:00AM,15.00,1,Jun 30 2014 12:00AM
205,Feb 26 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
206,Dec  2 2008 12:00AM,10.00,1,Jun 30 2014 12:00AM
207,Dec  2 2008 12:00AM,10.00,1,Jun 30 2014 12:00AM
208,Jan  8 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
209,Jan 27 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
210,Feb 20 2009 12:00AM,10.00,1,Jun 30 2014 12:00AM
211,Feb 28 2009 12:00AM,28.85,2,Jun 30 2014 12:00AM
212,Dec  9 2008 12:00AM,21.63,2,Jun 30 2014 12:00AM
213,Feb 23 2010 12:00AM,10.58,2,Jun 30 2014 12:00AM
214,Feb  2 2009 12:00AM,10.58,2,Jun 30 2014 12:00AM
215,Jan 15 2009 12:00AM,10.58,2,Jun 30 2014 12:00AM
216,Dec 28 2008 12:00AM,10.58,2,Jun 30 2014 12:00AM
217,Jan  4 2009 12:00AM,17.79,2,Jun 30 2014 12:00AM
218,Dec 16 2008 12:00AM,16.83,2,Jun 30 2014 12:00AM
219,Jan 22 2009 12:00AM,10.25,2,Jun 30 2014 12:00AM
220,Feb  9 2009 12:00AM,10.25,2,Jun 30 2014 12:00AM
221,Mar  6 2009 12:00AM,16.83,2,Jun 30 2014 12:00AM
222,Dec 12 2008 12:00AM,23.56,2,Jun 30 2014 12:00AM
223,Jan 26 2009 12:00AM,16.00,2,Jun 30 2014 12:00AM
224,Jan  8 2008 12:00AM,8.62,2,Dec 25 2007 12:00AM
224,Aug 31 2011 12:00AM,13.50,2,Aug 17 2011 12:00AM
224,Jan  1 2012 12:00AM,16.00,2,Dec 18 2011 12:00AM
225,Feb 13 2009 12:00AM,16.00,2,Jun 30 2014 12:00AM
226,Mar  3 2009 12:00AM,16.00,2,Jun 30 2014 12:00AM
227,Dec  2 2009 12:00AM,24.04,2,Jun 30 2014 12:00AM
228,Dec 14 2008 12:00AM,20.43,2,Jun 30 2014 12:00AM
229,Feb 16 2010 12:00AM,9.25,1,Jun 30 2014 12:00AM
230,Mar  5 2010 12:00AM,9.25,1,Jun 30 2014 12:00AM
231,Mar  7 2010 12:00AM,9.25,1,Jun 30 2014 12:00AM
232,Jan 27 2010 12:00AM,9.25,1,Jun 30 2014 12:00AM
233,Dec 21 2009 12:00AM,9.75,2,Jun 30 2014 12:00AM
234,Jan 31 2009 12:00AM,39.06,2,Jan 17 2009 12:00AM
234,Nov 14 2011 12:00AM,48.56,2,Oct 31 2011 12:00AM
234,Jan 29 2012 12:00AM,60.10,2,Jan 15 2012 12:00AM
235,Dec  6 2008 12:00AM,27.14,2,Jun 30 2014 12:00AM
236,Feb 25 2009 12:00AM,13.94,2,Jun 30 2014 12:00AM
237,Feb  6 2009 12:00AM,13.94,2,Jun 30 2014 12:00AM
238,Jan  1 2009 12:00AM,18.27,2,Jun 30 2014 12:00AM
239,Dec 25 2008 12:00AM,16.59,2,Jun 30 2014 12:00AM
240,Dec 13 2008 12:00AM,18.27,2,Jun 30 2014 12:00AM
241,Jan 30 2009 12:00AM,34.74,2,Jun 30 2014 12:00AM
242,Dec 18 2008 12:00AM,19.00,2,Jun 30 2014 12:00AM
243,Jan  6 2009 12:00AM,19.00,2,Jun 30 2014 12:00AM
244,Jan 24 2009 12:00AM,19.00,2,Jun 30 2014 12:00AM
245,Feb 18 2009 12:00AM,26.44,2,Jun 30 2014 12:00AM
246,Feb 11 2009 12:00AM,19.00,2,Jun 30 2014 12:00AM
247,Mar  1 2009 12:00AM,19.00,2,Jun 30 2014 12:00AM
248,Mar  8 2009 12:00AM,26.44,2,Jun 30 2014 12:00AM
249,Dec 25 2008 12:00AM,43.27,2,Jun 30 2014 12:00AM
250,Feb 21 2011 12:00AM,9.86,2,Feb  7 2011 12:00AM
250,Jul 30 2011 12:00AM,22.50,2,Jul 16 2011 12:00AM
250,Jul 14 2012 12:00AM,30.00,2,Jun 30 2012 12:00AM
251,Feb 10 2009 12:00AM,18.27,2,Jun 30 2014 12:00AM
252,Feb 28 2009 12:00AM,18.27,2,Jun 30 2014 12:00AM
253,Dec 17 2009 12:00AM,18.27,2,Jun 30 2014 12:00AM
254,Jan  4 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
255,Jan 11 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
256,Jan 23 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
257,Jan 27 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
258,Jan 31 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
259,Mar  9 2010 12:00AM,18.27,2,Jun 30 2014 12:00AM
260,Dec  6 2010 12:00AM,12.75,2,Jun 30 2014 12:00AM
261,Dec 25 2010 12:00AM,12.75,2,Jun 30 2014 12:00AM
262,Jan 12 2009 12:00AM,13.46,2,Jun 30 2014 12:00AM
263,Dec 11 2008 12:00AM,50.48,2,Jun 30 2014 12:00AM
264,Feb  4 2009 12:00AM,39.66,2,Jun 30 2014 12:00AM
265,Dec  4 2008 12:00AM,32.45,2,Jun 30 2014 12:00AM
266,Feb 23 2009 12:00AM,32.45,2,Jun 30 2014 12:00AM
267,Feb 16 2009 12:00AM,27.40,2,Jun 30 2014 12:00AM
268,Feb  3 2009 12:00AM,27.40,2,Jun 30 2014 12:00AM
269,Jan 11 2009 12:00AM,27.40,2,Jun 30 2014 12:00AM
270,Jan 17 2009 12:00AM,38.46,2,Jun 30 2014 12:00AM
271,Jan 22 2009 12:00AM,38.46,2,Jun 30 2014 12:00AM
272,Dec 23 2008 12:00AM,27.40,2,Jun 30 2014 12:00AM
273,Feb 15 2011 12:00AM,72.12,2,Jun 30 2014 12:00AM
274,Jan  4 2011 12:00AM,48.10,2,Jun 30 2014 12:00AM
275,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
276,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
277,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
278,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
279,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
280,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
281,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
282,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
283,May 31 2011 12:00AM,23.08,2,Jun 30 2014 12:00AM
284,Sep 30 2012 12:00AM,23.08,2,Jun 30 2014 12:00AM
285,Mar 14 2013 12:00AM,48.10,2,Jun 30 2014 12:00AM
286,May 30 2013 12:00AM,23.08,2,Jun 30 2014 12:00AM
287,Apr 16 2012 12:00AM,48.10,2,Jun 30 2014 12:00AM
288,May 30 2013 12:00AM,23.08,2,Jun 30 2014 12:00AM
289,May 30 2012 12:00AM,23.08,2,Jun 30 2014 12:00AM
290,May 30 2012 12:00AM,23.08,2,Jun 30 2014 12:00AM
